,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species
Otu18067,0.991092687,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured bacterium,
Otu18068,0.951927433,Bacteria,,,,,,
Otu18069,1,Bacteria,Acidobacteria,Subgroup 6,,,,
Otu18070,0.999998833,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu18071,0.98450452,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
Otu18072,1,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,gamma proteobacterium WY8
Otu18073,0.99997464,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium
Otu18074,0.965620899,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,uncultured bacterium
Otu18076,0.719111898,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,uncultured bacterium
Otu18077,0.999922824,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,metagenome,,
Otu18078,0.705259289,Bacteria,Patescibacteria,Parcubacteria,Candidatus Wolfebacteria,,,
Otu18079,0.799989709,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,
Otu18080,0.996328581,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,
Otu18081,0.999997485,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,metagenome,
Otu18082,0.989836627,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,
Otu18083,0.99951093,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,27F-1492R,uncultured delta proteobacterium,
Otu18084,0.998742814,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,uncultured bacterium,
Otu18085,0.98240921,Bacteria,,,,,,
Otu18086,0.961620399,Bacteria,,,,,,
Otu18087,0.770395936,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis,uncultured Myxococcales bacterium
Otu18088,0.99999993,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu18089,0.998522899,Bacteria,,,,,,
Otu18090,0.798109039,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Eoetvoesia,
Otu18091,0.999999539,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas,
Otu18092,0.910809433,Bacteria,Omnitrophicaeota,uncultured bacterium,,,,
Otu18093,0.947500541,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,
Otu18094,0.999999994,Bacteria,Acidobacteria,Subgroup 6,,,,
Otu18095,0.939576099,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured bacterium,
Otu18096,0.967655294,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,uncultured soil bacterium,
Otu18097,0.992253154,Bacteria,,,,,,
Otu18099,0.99999994,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),DS-100,,,
Otu18100,0.846423778,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
Otu18101,0.91787355,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,
Otu18102,0.999029272,Bacteria,FBP,uncultured bacterium,,,,
Otu18103,0.997362109,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,,,
Otu18104,0.911280533,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,metagenome
Otu18105,0.891760862,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,cvE6,metagenome,
Otu18106,0.902719871,Bacteria,Patescibacteria,Parcubacteria,Candidatus Yanofskybacteria,Candidatus Yanofskybacteria bacterium GW2011_GWF2_43_596,,
Otu18107,0.71825004,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,
Otu18108,0.999973887,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,,
Otu18109,0.99945783,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,metagenome
Otu18110,0.986325581,Bacteria,Patescibacteria,Microgenomatia,Candidatus Woykebacteria,uncultured bacterium,,
Otu18111,0.99999999,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu18112,0.999925045,Bacteria,,,,,,
Otu18113,0.999951873,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
Otu18114,0.930119673,Bacteria,,,,,,
Otu18115,0.996851637,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,
Otu18116,0.990602269,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,uncultured bacterium
Otu18117,0.952010348,Bacteria,,,,,,
Otu18118,0.990781045,Bacteria,,,,,,
Otu18119,0.97243658,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,uncultured bacterium
Otu18120,0.999999993,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
Otu18121,0.989521805,Bacteria,,,,,,
Otu18122,0.885889403,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,uncultured bacterium,,
Otu18123,0.951637631,Bacteria,Patescibacteria,Parcubacteria,Candidatus Staskawiczbacteria,uncultured bacterium,,
Otu18124,0.994765703,Bacteria,,,,,,
Otu18125,0.998414728,Bacteria,,,,,,
Otu18126,1,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu18127,0.76136978,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,,
Otu18128,0.992712614,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),Ambiguous_taxa,,
Otu18129,0.80267388,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,
Otu18130,0.999999999,Bacteria,Omnitrophicaeota,,,,,
Otu18131,0.712490928,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
Otu18132,0.999285763,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,uncultured bacterium
Otu18133,0.826502711,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Microcystaceae,Cyanothece ATCC 51142 (UCYN-C),Ambiguous_taxa
Otu18134,0.998976416,Bacteria,,,,,,
Otu18135,0.98485793,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured deep-sea bacterium
Otu18136,0.99284164,Bacteria,Patescibacteria,Microgenomatia,Candidatus Chisholmbacteria,,,
Otu18137,0.897911337,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
Otu18138,0.871128544,Bacteria,Chloroflexi,AD3,uncultured Chloroflexi bacterium,,,
Otu18139,0.73056792,Bacteria,Armatimonadetes,uncultured,uncultured bacterium,,,
Otu18140,0.999999999,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,
Otu18141,0.705434285,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
Otu18142,0.968063525,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,uncultured bacterium,
Otu18143,0.837451903,Bacteria,Armatimonadetes,uncultured,uncultured bacterium,,,
Otu18144,0.999984725,Bacteria,,,,,,
Otu18145,0.850004165,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
Otu18146,0.955580183,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,uncultured bacterium
Otu18147,0.998852784,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured delta proteobacterium
Otu18148,0.996335624,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu18149,0.982084881,Bacteria,,,,,,
Otu18150,0.995581835,Bacteria,,,,,,
Otu18151,0.838819377,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Schlesneriaceae,Planctopirus,uncultured bacterium
Otu18152,0.999968294,Bacteria,Bacteroidetes,Bacteroidia,,,,
Otu18153,0.920947049,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,uncultured Thermosporothrix sp.,
Otu18154,0.99661355,Bacteria,Elusimicrobia,Elusimicrobia,Lineage IV,uncultured bacterium,,
Otu18155,0.921500373,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,
Otu18156,0.999037855,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,
Otu18157,0.977686055,Bacteria,,,,,,
Otu18158,0.895676451,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,,
Otu18159,0.768580841,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,uncultured bacterium,
Otu18160,0.89681128,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,uncultured bacterium
Otu18161,0.999079965,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,,
Otu18162,0.936935168,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
Otu18163,0.99915797,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu18164,0.927934945,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu18165,0.932704409,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,metagenome
Otu18166,0.999824165,Bacteria,,,,,,
Otu18167,0.950439936,Bacteria,Gemmatimonadetes,S0134 terrestrial group,uncultured soil bacterium,,,
Otu18168,0.734089741,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
Otu18169,0.987459212,Bacteria,,,,,,
Otu18170,0.803014954,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,,
Otu18171,0.998728021,Bacteria,,,,,,
Otu18172,0.999688834,Bacteria,,,,,,
Otu18173,0.914176149,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiaceae,uncultured Chlamydiales bacterium,
Otu18174,0.730612246,Bacteria,Omnitrophicaeota,uncultured bacterium,,,,
Otu18175,0.998926077,Bacteria,,,,,,
Otu18176,0.916693971,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,soil bacterium WF55,,
Otu18177,0.806067148,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,
Otu18178,0.999999691,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu18179,0.999499432,Bacteria,Patescibacteria,Microgenomatia,Candidatus Collierbacteria,groundwater metagenome,,
Otu18180,0.75019582,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu18181,0.999439024,Bacteria,Patescibacteria,Parcubacteria,,,,
Otu18182,0.999031038,Bacteria,Chloroflexi,Ktedonobacteria,C0119,uncultured bacterium,,
Otu18183,0.775598837,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,,,
Otu18184,0.997227841,Bacteria,,,,,,
Otu18185,0.819688845,Bacteria,Proteobacteria,,,,,
Otu18186,0.775838613,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured planctomycete
Otu18187,0.902961312,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
Otu18188,0.999999946,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,uncultured proteobacterium
Otu18189,0.999532709,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
Otu18190,0.998252075,Bacteria,,,,,,
Otu18191,0.837324824,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Tenggerimyces,Tenggerimyces mesophilus
Otu18192,0.99767046,Bacteria,,,,,,
Otu18193,0.753460158,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Plasmopara viticola,,
Otu18194,0.999995386,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu18195,0.999534506,Bacteria,,,,,,
Otu18196,0.984678797,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu18197,0.999991794,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
Otu18198,0.991170596,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,
Otu18199,0.99954329,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured,uncultured Oscillospira sp.
Otu18200,0.759331738,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,
Otu18201,0.999779022,Bacteria,,,,,,
Otu18202,0.999999488,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu18203,0.99853724,Bacteria,Chloroflexi,JG30-KF-CM66,uncultured Caldilinea sp.,,,
Otu18204,0.930703915,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,
Otu18205,0.997813961,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,,
Otu18206,0.998537409,Bacteria,,,,,,
Otu18207,0.979439681,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured bacterium,
Otu18208,0.991277273,Bacteria,,,,,,
Otu18209,0.723569485,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,
Otu18210,0.958925608,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu18211,0.999999997,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu18212,0.996697535,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
Otu18213,0.819134291,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
Otu18214,0.999025708,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
Otu18215,0.999999997,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu18216,0.959300784,Bacteria,,,,,,
Otu18217,0.958164644,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,
Otu18218,0.794932335,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,
Otu18219,0.727131676,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gimesiaceae,uncultured,
Otu18220,0.707294524,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,
Otu18221,0.997977813,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,
Otu18222,0.879987765,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Fimbriiglobus,
Otu18223,0.999999922,Bacteria,Verrucomicrobia,Verrucomicrobiae,S-BQ2-57 soil group,uncultured bacterium,,
Otu18224,0.980471669,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Phaselicystidaceae,Phaselicystis,metagenome
Otu18225,0.964741831,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,
Otu18226,0.998843587,Bacteria,Patescibacteria,Parcubacteria,uncultured bacterium,,,
Otu18227,0.929001512,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Berkiella,uncultured bacterium
Otu18228,0.788859778,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
Otu18229,0.999999005,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu18230,0.889680616,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,,
Otu18231,0.777759697,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,uncultured bacterium,
Otu18232,0.99695216,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,uncultured bacterium,
Otu18233,0.999183106,Bacteria,Patescibacteria,Parcubacteria,,,,
Otu18234,0.945421566,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu18235,0.957747456,Bacteria,FBP,uncultured soil bacterium,,,,
Otu18236,0.99964467,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu18237,0.89931042,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Silvanigrella,uncultured bacterium
Otu18238,0.998912554,Bacteria,Dependentiae,Babeliae,Babeliales,metagenome,,
Otu18239,0.891495906,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium,,
Otu18240,0.944052193,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu18241,0.79341726,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,Ambiguous_taxa
Otu18242,0.999986828,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,
Otu18243,0.999999273,Bacteria,Patescibacteria,Parcubacteria,Candidatus Moranbacteria,uncultured soil bacterium,,
Otu18244,0.854576683,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,,
Otu18245,0.979042598,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured bacterium,,
Otu18246,1,Bacteria,Patescibacteria,Kazania,uncultured bacterium,,,
Otu18247,0.965144229,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu18248,0.800989958,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,,
Otu18249,0.999999997,Bacteria,Patescibacteria,Parcubacteria,,,,
Otu18250,0.982075964,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu18251,0.762029309,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,uncultured Aquicella sp.
Otu18252,0.998289642,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
Otu18253,0.999994894,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),11-24,,,
Otu18254,0.977243294,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
Otu18255,0.999990129,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Isosphaera,uncultured bacterium
Otu18256,0.997153808,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured bacterium
Otu18257,0.83872752,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,metagenome,
Otu18258,0.99999199,Bacteria,,,,,,
Otu18259,0.950244892,Bacteria,,,,,,
Otu18260,0.995291291,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,metagenome,
Otu18261,0.999716296,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu18262,0.981188018,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
Otu18263,0.962804767,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SS1-B-06-26,uncultured soil bacterium,
Otu18264,0.999999809,Bacteria,Patescibacteria,Gracilibacteria,Candidatus Peribacteria,metagenome,,
Otu18265,0.992340135,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,uncultured bacterium,
Otu18266,0.883343748,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Phaselicystidaceae,Phaselicystis,metagenome
Otu18267,0.829167817,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,uncultured bacterium
Otu18268,0.999948874,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,uncultured,Ambiguous_taxa
Otu18269,0.805885888,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,
Otu18270,0.997755309,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,uncultured bacterium,
Otu18271,0.999318867,Bacteria,,,,,,
Otu18272,0.976454842,Bacteria,,,,,,
Otu18273,0.999998993,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Chromobacteriaceae,Vogesella,
Otu18274,0.8545173,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
Otu18275,0.799085085,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Ovatusbacter,uncultured bacterium
Otu18276,0.98602593,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,uncultured,uncultured bacterium
Otu18277,0.999946404,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,uncultured,
Otu18278,0.970840238,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,uncultured bacterium
Otu18279,0.97628663,Bacteria,,,,,,
Otu18280,0.967994812,Bacteria,Planctomycetes,Phycisphaerae,Pla1 lineage,uncultured organism,,
Otu18281,0.996528294,Bacteria,Patescibacteria,Parcubacteria,,,,
Otu18282,0.755325531,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu18283,0.941783133,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
Otu18284,0.737668925,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,uncultured bacterium
Otu18285,0.765939985,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,uncultured bacterium,
Otu18286,0.744765406,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,
Otu18287,0.992689281,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu18288,0.989074789,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu18289,0.999998429,Bacteria,Patescibacteria,Microgenomatia,Candidatus Woesebacteria,,,
Otu18290,0.998711899,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,uncultured bacterium,,
Otu18291,0.888212621,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,metagenome,,
Otu18292,0.935046689,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,uncultured bacterium,
Otu18293,0.999999998,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu18294,0.969422592,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured Myxococcales bacterium
Otu18295,0.968327769,Bacteria,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,,,
Otu18296,0.998010215,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
Otu18297,0.992403826,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Sporocytophaga,uncultured bacterium
Otu18298,0.956250986,Bacteria,,,,,,
Otu18299,0.956200863,Bacteria,,,,,,
Otu18300,0.999999692,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,,
Otu18301,0.964151367,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured bacterium,
Otu18302,0.96981284,Bacteria,,,,,,
Otu18303,0.997047362,Bacteria,Proteobacteria,,,,,
Otu18304,0.999999089,Bacteria,,,,,,
Otu18305,0.919880243,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
Otu18306,0.818533933,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium
Otu18307,0.997091509,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,,
Otu18308,0.925702695,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
Otu18309,0.873798646,Bacteria,Patescibacteria,ABY1,Candidatus Komeilibacteria,uncultured bacterium,,
Otu18310,0.998396182,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu18311,0.706655834,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured bacterium
Otu18312,0.999939318,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu18313,0.998552729,Bacteria,Elusimicrobia,Elusimicrobia,MVP-88,uncultured bacterium,,
Otu18314,0.999999998,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,
Otu18315,0.720001292,Bacteria,Firmicutes,,,,,
Otu18316,0.747034729,Bacteria,Patescibacteria,ABY1,Candidatus Uhrbacteria,,,
Otu18317,0.999976383,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
Otu18318,0.909845684,Bacteria,Armatimonadetes,uncultured,uncultured bacterium,,,
Otu18319,0.999999958,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
Otu18320,0.999526671,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,uncultured bacterium
Otu18321,0.999989117,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,
Otu18322,0.99936415,Bacteria,,,,,,
Otu18323,0.783384042,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,uncultured,metagenome
Otu18324,0.999284351,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
Otu18325,0.730133843,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured bacterium,,
Otu18326,0.80464348,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
Otu18327,0.815380238,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
Otu18328,0.999999858,Bacteria,Actinobacteria,MB-A2-108,,,,
Otu18329,0.860519662,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu18330,0.791763299,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,
Otu18331,0.999996867,Bacteria,,,,,,
