,block,plot,year,Precipitation,Warm,warm,precip,clip,Clip,DNA concentration,DNA by pcgreen,NO3-N,NH4-N,TN,TC,pH,FlTotl,FlC4,FlC3,root_biomass,plant richness,moisture_samplingmonth,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X13_7N_H_N_2,B1,N07,2013,double,warming,1,2,0,unclipping,55.5,39.97,3.01,2.53,0.095,0.883,6.3,391.3686408,305.7424905,85.62615034,NA,6,3.6,9.03375,8.1,99.38,0.03527,18.86753552,4.392978878,4.607832023,0.214853145,1.937291667,1.079722222,3.017013889
X13_7S_H_C_2,B1,S07,2013,double,warming,1,2,1,Clipping,51.4,33.4,1.91,3.13,0.102,0.972,6.38,277.33,100.66,176.67,NA,5,3.82,10.735,8.1,99.38,0.03527,19.7495639,1.894324749,3.237465172,1.343140423,1.907291667,1.382638889,3.289930556
X13_8N_N_N_0,B1,N08,2013,half,unwarming,0,0.5,0,unclipping,62.8,45.5,5.66,3.08,0.094,0.857,6.37,565.7055448,456.7442345,108.9613103,NA,6,6.28,9.96125,8.1,99.38,0.03527,16.98176181,2.240723315,3.382195024,1.141471709,1.613263889,1.267916667,2.881180556
X13_8S_N_C_0,B1,S08,2013,half,unwarming,0,0.5,1,Clipping,53.6,32.08,0.95,2.3,0.074,0.602,6.79,279.22,152.58,126.64,NA,7,5.46,11.56125,8.1,99.38,0.03527,17.44981173,3.482908505,5.194650735,1.71174223,1.541875,1.248541667,2.790416667
X13_9N_N_N_2,B1,N09,2013,double,unwarming,0,2,0,unclipping,50.3,32.9,0.97,2.07,0.073,0.582,6.62,61.18511049,28.56120695,32.62390354,NA,3,4.73,12.59375,8.1,99.38,0.03527,17.091916,6.055958836,7.959518728,1.903559892,0.089375,2.709513889,2.798888889
X13_9S_N_C_2,B1,S09,2013,double,unwarming,0,2,1,Clipping,51.3,33.48,1.02,4.29,0.087,0.774,6.45,204.79,1.4,203.39,NA,4,3.78,10.92875,8.1,99.38,0.03527,16.76308714,3.898488187,5.730424841,1.831936654,1.858680556,1.530416667,3.389097222
X14_10N_H_N_1,B2,N10,2014,normal,warming,1,1,0,unclipping,44.4,26.84,15.61,4.22,0.092,0.714,6.1,68.883,58.191,10.692,NA,5,4.87,5.21,5.8,60.99,-0.87321,19.31363687,0.977642476,2.344508349,1.366865873,1.072453704,1.407355324,2.479809028
X14_10S_H_C_1,B2,S10,2014,normal,warming,1,1,1,Clipping,40.4,38.39,6.56,4.25,0.101,0.915,6.09,69.62,26.555,43.065,NA,8,3.8,4.578333333,5.8,60.99,-0.87321,19.30389313,3.627366182,5.09441212,1.467045938,1.120597994,1.722434414,2.843032407
X14_11N_N_N_0,B2,N11,2014,half,unwarming,0,0.5,0,unclipping,44.7,25.57,10.43,2.45,0.063,0.436,6.29,85.977,70.365,15.612,NA,3,4.3,5.51,5.8,60.99,-0.87321,17.16589637,1.39291124,3.672003642,2.279092403,1.196597222,1.75775463,2.954351852
X14_11S_N_C_0,B2,S11,2014,half,unwarming,0,0.5,1,Clipping,39.6,31.26,3.18,3.46,0.078,0.666,6.42,95.36,55.745,39.615,NA,3,1.97,4.836,5.8,60.99,-0.87321,17.15931316,3.597065864,5.04815396,1.451088095,1.333043981,1.3778125,2.710856481
X14_12N_N_N_2,B2,N12,2014,double,unwarming,0,2,0,unclipping,40.7,35.48,8.02,3.62,0.1,0.923,6.12,114.467,90.655,23.812,NA,2,3.43,7.096,5.8,60.99,-0.87321,16.12087074,2.761906468,4.202433712,1.440527243,1.076006944,1.603408565,2.679415509
X14_12S_N_C_2,B2,S12,2014,double,unwarming,0,2,1,Clipping,48.5,38.71,4.64,4.21,0.104,0.972,6.04,143.02,110.825,32.195,NA,8,4.4,7.494,5.8,60.99,-0.87321,20.73983263,3.53130727,5.139133923,1.607826653,0.803987269,2.030023148,2.834010417
X14_13N_N_N_0,B3,N13,2014,half,unwarming,0,0.5,0,unclipping,36,28.41,13.56,4.34,0.132,1.292,6.17,103.071,82.539,20.532,NA,4,5.13,5.218,5.8,60.99,-0.87321,17.13710425,1.447814246,2.270373978,0.822559732,0.880954861,1.476397569,2.357352431
X14_13S_N_C_0,B3,S13,2014,half,unwarming,0,0.5,1,Clipping,52.1,41.99,3.89,3.3,0.087,0.774,6.37,55.97,21.375,34.595,NA,8,3.43,5.33,5.8,60.99,-0.87321,17.36516981,2.713810466,3.422954091,0.709143625,1.142659144,1.812063079,2.954722222
X14_14N_N_N_2,B3,N14,2014,double,unwarming,0,2,0,unclipping,51.6,37.27,2.83,3.49,0.072,0.619,6.32,194.239,180.267,13.972,NA,3,7.07,6.836,5.8,60.99,-0.87321,16.88770818,3.568368038,3.773937315,0.205569277,1.460376157,2.198119213,3.65849537
X14_14S_N_C_2,B3,S14,2014,double,unwarming,0,2,1,Clipping,64.5,45.04,1.48,4.07,0.086,0.791,6.35,144.495,144.495,0,NA,4,6.3,7.642,5.8,60.99,-0.87321,20.24716242,2.007125909,2.016754467,0.009628558,1.319444444,1.888110532,3.207554977
X14_15N_H_N_0,B3,N15,2014,half,warming,1,0.5,0,unclipping,46.4,33.58,21.36,2.56,0.077,0.661,6.24,125.863,116.811,9.052,NA,4,3.3,4.062,5.8,60.99,-0.87321,20.69737106,0.324361388,1.51574333,1.191381942,0.607381366,1.980066551,2.587447917
X14_15S_H_C_0,B3,S15,2014,half,warming,1,0.5,1,Clipping,42.2,33.49,11.87,2.61,0.066,0.567,6.25,88.665,88.665,0,NA,6,2.7,3.106,5.8,60.99,-0.87321,21.3164968,1.309226573,1.524139603,0.214913031,0.994421296,1.603116319,2.597537616
X14_16N_H_N_1,B4,N16,2014,normal,warming,1,1,0,unclipping,53.2,47.3,49.09,10.95,0.115,1.004,5.79,85.977,75.285,10.692,NA,2,5.13,5.026,5.8,60.99,-0.87321,20.74372325,0.963662831,1.298950271,0.335287441,-0.397112269,2.634890046,2.237777778
X14_16S_H_C_1,B4,S16,2014,normal,warming,1,1,1,Clipping,62.3,38.47,15.83,4.22,0.115,1.112,5.93,63.62,46.015,17.605,NA,5,2.43,4.478,5.8,60.99,-0.87321,20.8744339,3.200712072,3.894537716,0.693825645,1.660034722,1.053793403,2.713828125
X14_17N_N_N_2,B4,N17,2014,double,unwarming,0,2,0,unclipping,66.3,32.26,17.41,3.11,0.095,0.833,6.12,188.541,164.729,23.812,NA,4,4.63,6.072,5.8,60.99,-0.87321,17.0043879,3.21246308,3.981303665,0.768840584,1.135914352,2.302609954,3.438524306
X14_17S_N_C_2,B4,S17,2014,double,unwarming,0,2,1,Clipping,61.8,63.88,2.47,3.13,0.098,0.956,6.52,338.6,308.535,30.065,NA,7,3.53,6.336,5.8,60.99,-0.87321,17.55070567,3.388421554,4.302269419,0.913847864,0.859918981,1.994626736,2.854545718
X14_18N_H_N_0,B4,N18,2014,half,warming,1,0.5,0,unclipping,51.7,34.86,16.03,4.09,0.114,1.163,6.2,182.843,163.951,18.892,NA,5,2.23,3.84,5.8,60.99,-0.87321,19.35494103,1.5233682,2.109646089,0.586277889,0.273637153,2.562219329,2.835856481
X14_18S_H_C_0,B4,S18,2014,half,warming,1,0.5,1,Clipping,64.5,38.64,12.65,2.31,0.08,0.711,6.23,105.9,104.775,1.125,NA,4,3.43,3.574,5.8,60.99,-0.87321,20.95541286,2.491092129,3.433011091,0.941918962,0.75974537,2.283648727,3.043394097
X14_19N_N_N_1,B3,N19,2014,normal,unwarming,0,1,0,unclipping,49.6,29.41,14.45,4.44,0.137,1.365,6.08,165.749,155.057,10.692,NA,4,5.37,5.588,5.8,60.99,-0.87321,17.00508529,3.672946355,5.598588258,1.925641903,0.786293403,2.385237269,3.171530671
X14_19S_N_C_1,B3,S19,2014,normal,unwarming,0,1,1,Clipping,39,35.46,1.33,2.69,0.08,0.687,6.47,115.145,115.145,0,NA,5,5.7,6.514,5.8,60.99,-0.87321,18.24855679,2.399032081,4.20149563,1.802463549,1.476002122,1.901862461,3.377864583
X14_1N_H_N_1,B1,N01,2014,normal,warming,1,1,0,unclipping,61.4,45.31,9.93,4.07,0.083,0.727,5.81,125.863,98.771,27.092,NA,4,1.03,2.941666667,5.8,60.99,-0.87321,17.95128161,2.209330415,2.903061642,0.693731227,0.712216435,1.337609954,2.049826389
X14_1S_H_C_1,B1,S01,2014,normal,warming,1,1,1,Clipping,67.6,50.05,21.33,3.68,0.084,0.692,5.71,11.99,7.935,4.055,NA,8,2.33,4.523333333,5.8,60.99,-0.87321,19.54673804,0.601395305,2.232530096,1.631134791,8.401846065,2.157436343,10.55928241
X14_20N_H_N_1,B3,N20,2014,normal,warming,1,1,0,unclipping,33.4,28.13,28.89,3.31,0.091,0.834,5.66,142.957,132.265,10.692,NA,4,2.93,4.77,5.8,60.99,-0.87321,17.8,1.452654304,2.9038852,1.451230897,0.288454861,2.392581019,2.68103588
X14_20S_H_C_1,B3,S20,2014,normal,warming,1,1,1,Clipping,34.8,22.66,29.71,4.36,0.119,1.184,5.79,208.845,208.845,0,NA,4,7.67,6.096,5.8,60.99,-0.87321,20.47139918,3.308047759,3.619798136,0.311750377,1.079612269,1.640714699,2.720326968
X14_21N_H_N_2,B3,N21,2014,double,warming,1,2,0,unclipping,46.7,29.58,38.2,9.21,0.083,0.707,5.47,182.843,170.511,12.332,NA,4,2.57,4.128,5.8,60.99,-0.87321,20.50417675,2.821897269,4.805069985,1.983172716,0.432528935,2.660656829,3.093185764
X14_21S_H_C_2,B3,S21,2014,double,warming,1,2,1,Clipping,95.9,46.14,4.72,4.65,0.104,1.057,5.87,433.595,433.595,0,NA,3,4.33,5.642,5.8,60.99,-0.87321,20.48210353,2.842924846,4.291838048,1.448913202,1.592647569,1.752569444,3.345217014
X14_22N_H_N_2,B4,N22,2014,double,warming,1,2,0,unclipping,52.3,32.28,6.64,3.51,0.089,0.868,6.05,137.259,106.887,30.372,NA,2,3.67,4.608,5.8,60.99,-0.87321,19.47751827,1.940678835,3.031734286,1.091055451,0.624600694,2.554788773,3.179389468
X14_22S_H_C_2,B4,S22,2014,double,warming,1,2,1,Clipping,108.9,66.51,5.23,4.36,0.102,1.005,6.28,234.2,200.835,33.365,NA,5,2.7,5.47,5.8,60.99,-0.87321,20.01111243,3.004146998,4.549569262,1.545422265,2.073972801,1.508084491,3.582057292
X14_23N_N_N_1,B4,N23,2014,normal,unwarming,0,1,0,unclipping,62.4,47.62,12.71,9.65,0.108,1.11,5.88,182.843,139.351,43.492,NA,3,2.7,4.82,5.8,60.99,-0.87321,17.27083114,2.164266612,3.463765618,1.299499006,0.181958912,2.706203704,2.888162616
X14_23S_N_C_1,B4,S23,2014,normal,unwarming,0,1,1,Clipping,47.2,33.17,1.18,4.32,0.098,0.982,6.2,217.695,217.695,0,NA,3,4.4,6.332,5.8,60.99,-0.87321,17.4237758,3.008382549,3.873522996,0.865140446,1.104655671,1.758278356,2.862934028
X14_24N_N_N_0,B4,N24,2014,half,unwarming,0,0.5,0,unclipping,61.9,57.3,4.44,3.15,0.078,0.771,6.05,171.447,162.395,9.052,NA,5,4.63,5.182,5.8,60.99,-0.87321,16.96312681,2.28598114,3.093072109,0.80709097,0.494855324,2.287317708,2.782173032
X14_24S_N_C_0,B4,S24,2014,half,unwarming,0,0.5,1,Clipping,56,73.61,0.85,4.43,0.092,0.957,6.35,198.42,197.595,0.825,NA,6,3.4,5.14,5.8,60.99,-0.87321,17.45497688,2.193438416,2.823020463,0.629582046,1.837167245,1.241316551,3.078483796
X14_2N_H_N_0,B1,N02,2014,half,warming,1,0.5,0,unclipping,67.3,32.59,48.55,11.35,0.093,0.775,5.42,108.769,99.717,9.052,NA,4,2.7,3.445,5.8,60.99,-0.87321,18.3324099,0.503460633,1.816745772,1.313285139,1.068726852,1.507048611,2.575775463
X14_2S_H_C_0,B1,S02,2014,half,warming,1,0.5,1,Clipping,35.6,18.18,30.56,3.12,0.129,1.288,5.75,208.8,205.425,3.375,NA,2,1.73,3.006666667,5.8,60.99,-0.87321,20.50135279,1.297968424,1.944619692,0.646651268,0.219606481,1.776527778,1.996134259
X14_3N_N_N_1,B1,N03,2014,normal,unwarming,0,1,0,unclipping,68.6,35.75,13.49,2.75,0.08,0.645,6.04,80.279,66.307,13.972,NA,3,2.57,5.6,5.8,60.99,-0.87321,16.98552004,2.86065106,5.648362933,2.787711873,1.311001157,1.45662037,2.767621528
X14_3S_N_C_1,B1,S03,2014,normal,unwarming,0,1,1,Clipping,54.1,35.43,6.67,3.77,0.095,0.859,5.91,292.09,266.525,25.565,NA,7,2.93,4.798333333,5.8,60.99,-0.87321,16.13334689,2.454915268,4.8024546,2.347539332,1.398933256,1.358553241,2.757486497
X14_4N_H_N_2,B2,N04,2014,double,warming,1,2,0,unclipping,68,55.66,9.26,2.88,0.076,0.612,5.84,188.541,143.409,45.132,NA,5,2.47,4.461666667,5.8,60.99,-0.87321,19.41668254,1.816507493,3.330188961,1.513681468,1.658321759,1.342748843,3.001070602
X14_4S_H_C_2,B2,S04,2014,double,warming,1,2,1,Clipping,75.7,46.75,3.6,2.85,0.077,0.658,6.03,154.6,111.395,43.205,NA,6,3.9,4.75,5.8,60.99,-0.87321,20.09304644,3.157429217,6.39473987,3.237310653,1.148028549,1.850455247,2.998483796
X14_5N_H_N_0,B2,N05,2014,half,warming,1,0.5,0,unclipping,47.9,35.14,17.49,2.43,0.088,0.745,5.83,108.769,94.797,13.972,NA,6,3.1,4.373333333,5.8,60.99,-0.87321,20.64103222,2.781196005,5.723576506,2.942380501,0.706313657,1.537065972,2.24337963
X14_5S_H_C_0,B2,S05,2014,half,warming,1,0.5,1,Clipping,67.3,36.99,3.81,2.85,0.101,0.931,6.15,79.54,78.195,1.345,NA,5,3.17,3.856666667,5.8,60.99,-0.87321,20.99453689,1.456727422,2.358589323,0.901861901,0.557118056,1.629039352,2.186157407
X14_6N_N_N_1,B2,N06,2014,normal,unwarming,0,1,0,unclipping,34.7,25.76,13.27,3.13,0.078,0.67,5.8,85.977,70.365,15.612,NA,5,3.53,4.696666667,5.8,60.99,-0.87321,16.60254704,1.681880455,3.797752721,2.115872266,0.967679398,1.426597222,2.39427662
X14_6S_N_C_1,B2,S06,2014,normal,unwarming,0,1,1,Clipping,69.3,49.07,1.92,2.95,0.074,0.573,6,187.315,187.315,0,NA,4,5.23,5.658333333,5.8,60.99,-0.87321,17.21235123,2.570581463,3.833724125,1.263142663,1.437853009,1.090318287,2.528171296
X14_7N_H_N_2,B1,N07,2014,double,warming,1,2,0,unclipping,77.9,62.76,6.39,3.26,0.066,0.512,6.05,188.541,179.489,9.052,NA,6,4.9,5.45,5.8,60.99,-0.87321,19.50126087,2.199665195,2.788308481,0.588643286,1.576440972,1.317476852,2.893917824
X14_7S_H_C_2,B1,S07,2014,double,warming,1,2,1,Clipping,50.6,44.29,1.32,3.1,0.077,0.688,6.3,179.98,175.245,4.735,NA,4,6.3,6.541666667,5.8,60.99,-0.87321,20.31036711,3.897037312,5.405006375,1.507969063,1.56671875,1.60244213,3.16916088
X14_8N_N_N_0,B1,N08,2014,half,unwarming,0,0.5,0,unclipping,70.9,56.35,13.49,5.81,0.076,0.669,6.08,177.145,164.813,12.332,NA,5,5.37,5.456666667,5.8,60.99,-0.87321,17.20043707,2.390861447,3.413402148,1.022540701,0.076938657,2.167326389,2.244265046
X14_8S_N_C_0,B1,S08,2014,half,unwarming,0,0.5,1,Clipping,55.9,44.8,2.5,3.71,0.112,1.06,6.24,368.42,352.695,15.725,NA,3,2.2,4.308333333,5.8,60.99,-0.87321,17.72970629,2.347738613,4.217038821,1.869300209,0.953489583,1.399045139,2.352534722
X14_9N_N_N_2,B1,N09,2014,double,unwarming,0,2,0,unclipping,44.3,29.09,8.78,2.97,0.089,0.803,5.96,114.467,90.655,23.812,NA,5,2.93,4.983333333,5.8,60.99,-0.87321,16.91828736,4.581271229,7.731736223,3.150464994,0.537447917,2.116626157,2.654074074
X14_9S_N_C_2,B1,S09,2014,double,unwarming,0,2,1,Clipping,60.6,58.61,2.79,3.22,0.071,0.544,6.2,163.83,152.425,11.405,NA,5,6.93,6.563333333,5.8,60.99,-0.87321,16.8482798,4.100715684,6.504865483,2.404149799,0.429056713,2.968368056,3.397424769
X15_10N_H_N_1,B2,N10,2015,normal,warming,1,1,0,unclipping,75.6,64.3,1.13,0.73,0.075,0.573,5.66,410.5283738,127.6349278,282.8934459,NA,6,1.6,9.206666667,8.9,160.5788,1.65999,21.93137698,4.268549154,6.658170142,2.389620988,1.322222222,3.052222222,4.374444444
X15_10S_H_C_1,B2,S10,2015,normal,warming,1,1,1,Clipping,54.2,NA,1.13,0.73,0.075,0.573,5.66,208.82,0,208.82,NA,9,1.333333333,10.28,8.9,160.5788,1.65999,21.62450693,4.603416513,5.74615698,1.142740467,1.356666667,2.078888889,3.435555556
X15_11N_N_N_0,B2,N11,2015,half,unwarming,0,0.5,0,unclipping,47.8,21.3403576,2.15,0.78,0.073,0.556,6.02,482.6934058,159.1617559,323.53165,NA,6,1.133333333,9.863333333,8.9,160.5788,1.65999,20.65610831,3.456203697,5.193363757,1.73716006,1.347777778,2.939259259,4.287037037
X15_11S_N_C_0,B2,S11,2015,half,unwarming,0,0.5,1,Clipping,61,30.03766519,1.12,0.55,0.072,0.56,6.4,217.51,118.73,98.78,NA,9,0.5,11.67333333,8.9,160.5788,1.65999,19.72222535,5.232480492,7.491328366,2.258847874,1.06,2.545555556,3.605555556
X15_12N_N_N_2,B2,N12,2015,double,unwarming,0,2,0,unclipping,81.4,NA,3.78,1.15,0.087,0.684,5.97,333.2086965,127.6349278,205.5737687,NA,6,2.833333333,12.01,8.9,160.5788,1.65999,19.22691372,4.31891048,5.258390924,0.939480444,0.464444444,2.832222222,3.296666667
X15_12S_N_C_2,B2,S12,2015,double,unwarming,0,2,1,Clipping,64.6,NA,0.39,0.7,0.075,0.593,6.03,312.56,312.56,0,NA,9,2.333333333,15.31333333,8.9,160.5788,1.65999,9.517022173,5.929599552,7.933265895,2.003666343,-1.382222222,3.293333333,1.911111111
X15_13N_N_N_0,B3,N13,2015,half,unwarming,0,0.5,0,unclipping,56,20.38186073,2.51,1.27,0.071,0.58,6.42,503.3119864,127.6349278,375.6770586,NA,7,2.366666667,11.37878788,8.9,160.5788,1.65999,16.519612,4.028948984,5.788693151,1.759744167,3.368888889,3.848888889,7.217777778
X15_13S_N_C_0,B3,S13,2015,half,unwarming,0,0.5,1,Clipping,111.8,NA,3.73,1.78,0.068,0.654,6.29,501.78,477.14,24.64,NA,10,4.266666667,13.12727273,8.9,160.5788,1.65999,16.65028988,4.416238224,6.64358445,2.227346226,0.65,3.152222222,3.802222222
X15_14N_N_N_2,B3,N14,2015,double,unwarming,0,2,0,unclipping,116.9,NA,1.41,1.88,0.076,0.852,6.41,389.9097932,237.9788259,151.9309672,NA,7,7.433333333,13.34545455,8.9,160.5788,1.65999,16.41550161,4.305218781,3.799574782,-0.505644,2.028888889,3.295555556,5.324444444
X15_14S_N_C_2,B3,S14,2015,double,unwarming,0,2,1,Clipping,54.6,31.07806595,0.8,0.9,0.092,0.821,6.49,552.17,551.26,0.91,NA,7,10.66666667,14.97575758,8.9,160.5788,1.65999,20.24716242,4.696490354,5.481405974,0.78491562,0.56,3.448888889,4.008888889
X15_15N_H_N_0,B3,N15,2015,half,warming,1,0.5,0,unclipping,60.2,NA,7.81,4.28,0.081,0.67,6.1,462.0748252,324.677603,137.3972223,NA,7,1.233333333,8.103030303,8.9,160.5788,1.65999,20.72021285,3.286853297,5.233706683,1.946853385,1.302222222,3.978888889,5.281111111
X15_15S_H_C_0,B3,S15,2015,half,warming,1,0.5,1,Clipping,51.2,35.71338336,2.63,0.82,0.095,0.915,6.49,786.16,736.38,49.78,NA,8,0.366666667,8.06969697,8.9,160.5788,1.65999,19.86363187,5.765171517,6.769907485,1.004735968,1.702222222,2.454814815,4.157037037
X15_16N_H_N_1,B4,N16,2015,normal,warming,1,1,0,unclipping,74,53.49,2.92,0.96,0.079,0.641,5.79,493.0026961,261.6239469,231.3787492,NA,8,2.2,7.845454545,8.9,160.5788,1.65999,11.51456647,4.766686469,6.297198351,1.530511882,-0.792222222,3.704444444,2.912222222
X15_16S_H_C_1,B4,S16,2015,normal,warming,1,1,1,Clipping,40.2,20.76481676,2.92,0.96,0.079,0.641,5.79,505.08,505.08,0,NA,7,2.933333333,10.96666667,8.9,160.5788,1.65999,19.38080915,6.00362475,8.507757454,2.504132705,2.953333333,2.542222222,5.495555556
X15_17N_N_N_2,B4,N17,2015,double,unwarming,0,2,0,unclipping,39.4,20.96846967,1.62,0.74,0.074,0.685,6.29,317.7447611,127.6349278,190.1098332,NA,6,3.033333333,12.8,8.9,160.5788,1.65999,16.84407976,3.956741846,4.556117184,0.599375338,-2.581111111,4.072222222,1.491111111
X15_17S_N_C_2,B4,S17,2015,double,unwarming,0,2,1,Clipping,55.4,47.71119633,1.53,1,0.07,0.573,6.55,719.08,718.79,0.29,NA,5,3.066666667,15,8.9,160.5788,1.65999,16.57772186,7.883248895,9.80288372,1.919634826,-1.995555556,5.79962963,3.804074074
X15_18N_H_N_0,B4,N18,2015,half,warming,1,0.5,0,unclipping,63.9,42.35202563,1.07,2.24,0.125,1.242,5.93,297.1261805,127.6349278,169.4912526,NA,5,1.233333333,7.863636364,8.9,160.5788,1.65999,18.11391235,3.459653132,4.481130468,1.021477336,2.623333333,4.078888889,6.702222222
X15_18S_H_C_0,B4,S18,2015,half,warming,1,0.5,1,Clipping,74.8,32.1649527,0.9,1.15,0.1,0.943,5.98,479.14,326.66,152.48,NA,6,0,8.515151515,8.9,160.5788,1.65999,20.26022816,4.005631596,4.012126813,0.006495216,0.263333333,3.532962963,3.796296296
X15_19N_N_N_1,B3,N19,2015,normal,unwarming,0,1,0,unclipping,55.6,44.49,1.25,0.95,0.074,0.582,6.2,307.4354708,222.2154119,85.22005885,NA,2,4.766666667,12.07878788,8.9,160.5788,1.65999,16.39923517,3.793271203,3.84588661,0.052615407,0.785777778,3.884444444,4.670222222
X15_19S_N_C_1,B3,S19,2015,normal,unwarming,0,1,1,Clipping,56.3,NA,1.25,0.95,0.074,0.582,6.2,529.68,529.68,0,NA,6,7.433333333,15.1030303,8.9,160.5788,1.65999,16.62080859,5.036010119,5.940781956,0.904771837,0.283333333,3.225555556,3.508888889
X15_1N_H_N_1,B1,N01,2015,normal,warming,1,1,0,unclipping,56.6,43.83,3.41,1.13,0.089,0.738,6.88,343.5179868,167.0434629,176.4745239,NA,9,1.833333333,5.736363636,8.9,160.5788,1.65999,21.51751815,2.883275843,7.052474631,4.169198788,0.85,2.775555556,3.625555556
X15_1S_H_C_1,B1,S01,2015,normal,warming,1,1,1,Clipping,101.1,NA,3.41,1.13,0.089,0.738,6.88,195.52,48.25,147.27,NA,8,0.5,8.287878788,8.9,160.5788,1.65999,22.57172617,3.315731287,5.385091842,2.069360555,0.942222222,2.92962963,3.871851852
X15_20N_H_N_1,B3,N20,2015,normal,warming,1,1,0,unclipping,54.7,38.07,0.28,0.91,0.093,0.814,6.38,521.7202781,521.7202781,0,NA,4,2.566666667,8.890909091,8.9,160.5788,1.65999,19.10679543,3.977104559,4.818305799,0.841201241,-0.133333333,3.554444444,3.421111111
X15_20S_H_C_1,B3,S20,2015,normal,warming,1,1,1,Clipping,64.5,NA,0.28,0.91,0.093,0.814,6.38,471.07,398.09,72.98,NA,6,1.233333333,10.83333333,8.9,160.5788,1.65999,19.10679543,5.920537885,8.81213976,2.891601875,0.241111111,3.46,3.701111111
X15_21N_H_N_2,B3,N21,2015,double,warming,1,2,0,unclipping,41.1,22.89431788,2.67,1.14,0.075,0.639,3.34,467.2294704,379.849552,87.37991839,NA,5,3.2,10.26060606,8.9,160.5788,1.65999,18.23105101,4.134832014,5.356797118,1.221965104,2.106666667,2.465925926,4.572592593
X15_21S_H_C_2,B3,S21,2015,double,warming,1,2,1,Clipping,43.2,26.9607353,0.99,1.11,0.085,0.797,6.48,502.47,487.77,14.7,NA,5,7.666666667,12.65454545,8.9,160.5788,1.65999,18.50347438,4.15201919,3.925304198,-0.226714991,2.173333333,3.524444444,5.697777778
X15_22N_H_N_2,B4,N22,2015,double,warming,1,2,0,unclipping,40.8,22.7548599,7.99,2.08,0.101,0.901,6.47,338.3633417,135.5166349,202.8467068,NA,6,4.266666667,10.08787879,8.9,160.5788,1.65999,18.08179847,4.019482853,4.488555676,0.469072822,2.858888889,3.683333333,6.542222222
X15_22S_H_C_2,B4,S22,2015,double,warming,1,2,1,Clipping,55.8,28.03876757,0.78,0.99,0.092,0.884,6.74,682.84,657.07,25.77,NA,8,2.2,13.23030303,8.9,160.5788,1.65999,17.87453664,4.046988223,4.05458777,0.007599547,2.451111111,2.815555556,5.266666667
X15_23N_N_N_1,B4,N23,2015,normal,unwarming,0,1,0,unclipping,87,71.05,1.6,2.02,0.106,1.11,6.66,503.3119864,324.677603,178.6343835,NA,7,1.866666667,10.88181818,8.9,160.5788,1.65999,16.93818213,3.912098605,5.331049986,1.418951381,0.608888889,4.257777778,4.866666667
X15_23S_N_C_1,B4,S23,2015,normal,unwarming,0,1,1,Clipping,73.4,33.66578613,1.6,2.02,0.106,1.11,6.66,357.06,357.06,0,NA,5,3.433333333,13.17272727,8.9,160.5788,1.65999,16.74663116,5.61500656,7.257849893,1.642843333,2.273333333,2.347777778,4.621111111
X15_24N_N_N_0,B4,N24,2015,half,unwarming,0,0.5,0,unclipping,89.2,41.91815637,1.07,1.6,0.13,1.267,6.71,431.1469544,395.612966,35.53398833,NA,5,1.133333333,12.07575758,8.9,160.5788,1.65999,16.29475681,3.689778803,3.653623133,-0.03615567,0.24,3.501111111,3.741111111
X15_24S_N_C_0,B4,S24,2015,half,unwarming,0,0.5,1,Clipping,96.3,NA,1.9,1.39,0.105,1.051,6.62,439,430.34,8.66,NA,6,1.866666667,11.89090909,8.9,160.5788,1.65999,16.52623353,5.452234602,5.65739736,0.205162757,1.191111111,2.254444444,3.445555556
X15_2N_H_N_0,B1,N02,2015,half,warming,1,0.5,0,unclipping,84.3,NA,12.33,4.61,0.09,0.755,5.58,431.1469544,135.5166349,295.6303195,NA,6,0.633333333,6.803030303,8.9,160.5788,1.65999,20.98611347,4.264235755,5.982862717,1.718626961,1.775555556,2.172222222,3.947777778
X15_2S_H_C_0,B1,S02,2015,half,warming,1,0.5,1,Clipping,103.8,NA,4.18,3.37,0.123,1.2,6.04,179.9,56.89,123.01,NA,7,0.5,7.393939394,8.9,160.5788,1.65999,21.54200446,2.607692191,4.722027049,2.114334858,2.248888889,2.103333333,4.352222222
X15_3N_N_N_1,B1,N03,2015,normal,unwarming,0,1,0,unclipping,72.5,52.29,0.01,1.39,0.084,0.673,6.39,451.765535,190.6885839,261.0769511,NA,8,2.666666667,9.057575758,8.9,160.5788,1.65999,19.69763339,2.992787304,3.590050613,0.597263309,0.178888889,2.512222222,2.691111111
X15_3S_N_C_1,B1,S03,2015,normal,unwarming,0,1,1,Clipping,88,NA,0.01,1.39,0.084,0.673,6.39,346.44,273.81,72.63,NA,3,1.933333333,11.40333333,8.9,160.5788,1.65999,18.49616811,4.16246578,5.00200289,0.83953711,2.027777778,2.335555556,4.363333333
X15_4N_H_N_2,B2,N04,2015,double,warming,1,2,0,unclipping,77.6,NA,4.88,1.25,0.076,0.587,6.24,364.1365674,174.9251699,189.2113975,NA,7,2.6,9.803030303,8.9,160.5788,1.65999,22.09503461,4.34669308,5.889702589,1.543009509,1.08,1.513333333,2.593333333
